poolId,drawId,publicationVersion,ticketIndex,numbers,special,serial
powerball,2026-08-05,1,1,24-31-47-52-68,17,25FCD6C065ACBBF0D
powerball,2026-08-05,1,2,35-48-49-52-56,21,2D6F455C923756663
powerball,2026-08-05,1,3,1-26-58-60-61,23,2D6F455C923756663
powerball,2026-08-05,1,4,2-23-30-43-64,22,2D6F455C923756663
powerball,2026-08-05,1,5,7-16-33-50-55,19,2D6F455C923756663
powerball,2026-08-05,1,6,18-21-25-42-67,11,2D6F455C923756663
powerball,2026-08-05,1,7,20-25-34-51-60,4,25AE2E9403C675208
powerball,2026-08-05,1,8,20-28-31-33-58,15,25AE2E9403C675208
powerball,2026-08-05,1,9,21-30-38-46-47,3,25AE2E9403C675208
powerball,2026-08-05,1,10,22-27-29-40-62,6,25AE2E9403C675208
powerball,2026-08-05,1,11,24-36-43-53-59,10,25AE2E9403C675208
powerball,2026-08-05,1,12,7-12-39-48-63,7,2529427987A488194
powerball,2026-08-05,1,13,7-15-18-46-49,13,2529427987A488194
powerball,2026-08-05,1,14,8-9-33-46-62,16,2529427987A488194
powerball,2026-08-05,1,15,8-10-23-32-55,16,2529427987A488194
powerball,2026-08-05,1,16,8-11-21-34-56,2,2529427987A488194
powerball,2026-08-05,1,17,9-12-22-45-60,22,2529427987A488194
powerball,2026-08-05,1,18,9-27-48-54-57,7,2529427987A488194
powerball,2026-08-05,1,19,10-16-29-42-61,12,2529427987A488194
powerball,2026-08-05,1,20,11-16-41-51-58,9,2529427987A488194
powerball,2026-08-05,1,21,11-26-53-63-64,14,2529427987A488194
powerball,2026-08-05,1,22,12-14-31-38-61,11,2529427987A488194
powerball,2026-08-05,1,23,13-22-41-65-68,13,2529427987A488194
powerball,2026-08-05,1,24,14-15-52-54-59,1,2529427987A488194
powerball,2026-08-05,1,25,15-24-33-35-66,18,2529427987A488194
powerball,2026-08-05,1,26,15-29-32-37-50,12,2529427987A488194
powerball,2026-08-05,1,27,16-40-45-64-67,25,2529427987A488194
powerball,2026-08-05,1,28,17-20-38-59-67,18,2529427987A488194
powerball,2026-08-05,1,29,18-23-41-53-56,26,2529427987A488194
powerball,2026-08-05,1,30,19-32-36-40-69,3,2529427987A488194
powerball,2026-08-05,1,31,19-42-50-51-63,1,2529427987A488194
powerball,2026-08-05,1,32,1-18-28-55-57,24,2CD0E132C5697EA89
powerball,2026-08-05,1,33,1-25-44-64-66,24,2CD0E132C5697EA89
powerball,2026-08-05,1,34,1-32-39-52-65,20,2CD0E132C5697EA89
powerball,2026-08-05,1,35,2-7-25-61-62,14,2CD0E132C5697EA89
powerball,2026-08-05,1,36,2-27-37-66-69,25,2CD0E132C5697EA89
powerball,2026-08-05,1,37,2-31-36-46-57,5,2CD0E132C5697EA89
powerball,2026-08-05,1,38,3-10-35-40-53,21,2CD0E132C5697EA89
powerball,2026-08-05,1,39,3-17-30-51-68,10,2CD0E132C5697EA89
powerball,2026-08-05,1,40,3-21-28-50-60,19,2CD0E132C5697EA89
powerball,2026-08-05,1,41,4-6-26-39-57,17,2CD0E132C5697EA89
powerball,2026-08-05,1,42,4-12-13-43-49,8,2CD0E132C5697EA89
powerball,2026-08-05,1,43,4-19-30-65-67,8,2CD0E132C5697EA89
powerball,2026-08-05,1,44,4-24-44-45-69,5,2CD0E132C5697EA89
powerball,2026-08-05,1,45,5-8-47-58-63,23,2CD0E132C5697EA89
powerball,2026-08-05,1,46,5-13-34-55-66,2,2CD0E132C5697EA89
powerball,2026-08-05,1,47,5-17-26-54-69,15,2CD0E132C5697EA89
powerball,2026-08-05,1,48,5-36-39-42-68,6,2CD0E132C5697EA89
powerball,2026-08-05,1,49,6-9-23-44-65,20,2CD0E132C5697EA89
powerball,2026-08-05,1,50,6-10-45-47-54,9,2CD0E132C5697EA89
powerball,2026-08-05,1,51,6-14-22-37-43,4,2CD0E132C5697EA89
powerball,2026-08-05,1,52,3-14-27-34-41,26,22CC7A56751B4416E
powerball,2026-08-05,1,53,11-13-29-38-44,4,22CC7A56751B4416E
powerball,2026-08-05,1,54,17-28-37-48-62,7,22CC7A56751B4416E
sha256,1a189e57145d9c7e4071e86ac059fef83dacc24fc19beac5c2d112233353ab25,,,,,
