poolId,drawId,publicationVersion,ticketIndex,numbers,special,serial
powerball,2026-08-08,1,1,29-32-40-47-59,20,2F9A732E08768E8FF
powerball,2026-08-08,1,2,20-38-39-46-57,23,2389B6EFC635C761F
powerball,2026-08-08,1,3,25-26-46-59-65,22,2389B6EFC635C761F
powerball,2026-08-08,1,4,26-27-38-45-47,25,2389B6EFC635C761F
powerball,2026-08-08,1,5,27-30-34-54-57,3,2389B6EFC635C761F
powerball,2026-08-08,1,6,28-41-42-49-51,17,2389B6EFC635C761F
powerball,2026-08-08,1,7,1-10-20-51-64,12,23E483B8A39B5342C
powerball,2026-08-08,1,8,1-12-13-43-56,24,23E483B8A39B5342C
powerball,2026-08-08,1,9,1-15-39-54-66,18,23E483B8A39B5342C
powerball,2026-08-08,1,10,1-28-35-38-40,6,23E483B8A39B5342C
powerball,2026-08-08,1,11,2-11-47-50-55,26,23E483B8A39B5342C
powerball,2026-08-08,1,12,2-16-32-35-51,14,23E483B8A39B5342C
powerball,2026-08-08,1,13,2-24-31-53-67,7,23E483B8A39B5342C
powerball,2026-08-08,1,14,2-27-56-65-68,10,23E483B8A39B5342C
powerball,2026-08-08,1,15,3-14-28-43-45,19,23E483B8A39B5342C
powerball,2026-08-08,1,16,3-23-27-48-49,11,23E483B8A39B5342C
powerball,2026-08-08,1,17,3-33-36-62-69,3,23E483B8A39B5342C
powerball,2026-08-08,1,18,3-50-52-53-63,5,23E483B8A39B5342C
powerball,2026-08-08,1,19,4-5-14-39-63,17,23E483B8A39B5342C
powerball,2026-08-08,1,20,4-7-24-32-49,2,23E483B8A39B5342C
powerball,2026-08-08,1,21,4-23-45-46-58,10,23E483B8A39B5342C
powerball,2026-08-08,1,22,4-30-31-55-64,14,23E483B8A39B5342C
powerball,2026-08-08,1,23,5-7-10-57-68,20,23E483B8A39B5342C
powerball,2026-08-08,1,24,5-13-24-64-65,1,23E483B8A39B5342C
powerball,2026-08-08,1,25,5-17-40-44-58,4,23E483B8A39B5342C
powerball,2026-08-08,1,26,6-8-13-37-69,25,23E483B8A39B5342C
powerball,2026-08-08,1,27,6-15-22-48-61,17,23E483B8A39B5342C
powerball,2026-08-08,1,28,6-19-31-49-56,9,23E483B8A39B5342C
powerball,2026-08-08,1,29,6-25-55-57-62,13,23E483B8A39B5342C
powerball,2026-08-08,1,30,7-11-36-42-54,25,23E483B8A39B5342C
powerball,2026-08-08,1,31,7-12-29-34-66,5,23E483B8A39B5342C
powerball,2026-08-08,1,32,8-10-25-35-39,24,23E483B8A39B5342C
powerball,2026-08-08,1,33,8-12-17-50-51,15,23E483B8A39B5342C
powerball,2026-08-08,1,34,8-15-16-33-60,18,23E483B8A39B5342C
powerball,2026-08-08,1,35,9-12-46-55-67,13,23E483B8A39B5342C
powerball,2026-08-08,1,36,9-21-48-58-68,8,23E483B8A39B5342C
powerball,2026-08-08,1,37,9-23-36-38-50,21,23E483B8A39B5342C
powerball,2026-08-08,1,38,9-37-53-56-60,23,23E483B8A39B5342C
powerball,2026-08-08,1,39,10-22-37-41-43,22,23E483B8A39B5342C
powerball,2026-08-08,1,40,11-24-48-52-59,6,23E483B8A39B5342C
powerball,2026-08-08,1,41,11-26-44-61-62,7,23E483B8A39B5342C
powerball,2026-08-08,1,42,13-17-47-52-54,1,23E483B8A39B5342C
powerball,2026-08-08,1,43,13-20-29-33-44,21,23E483B8A39B5342C
powerball,2026-08-08,1,44,14-26-35-36-41,8,23E483B8A39B5342C
powerball,2026-08-08,1,45,14-31-44-60-69,16,23E483B8A39B5342C
powerball,2026-08-08,1,46,15-21-41-52-64,9,23E483B8A39B5342C
powerball,2026-08-08,1,47,16-22-30-53-65,19,23E483B8A39B5342C
powerball,2026-08-08,1,48,16-34-43-62-63,15,23E483B8A39B5342C
powerball,2026-08-08,1,49,17-21-30-33-42,3,23E483B8A39B5342C
powerball,2026-08-08,1,50,18-19-22-50-69,4,23E483B8A39B5342C
powerball,2026-08-08,1,51,18-21-23-34-67,26,23E483B8A39B5342C
powerball,2026-08-08,1,52,18-29-42-58-61,8,23E483B8A39B5342C
powerball,2026-08-08,1,53,18-40-49-60-63,12,23E483B8A39B5342C
powerball,2026-08-08,1,54,19-25-28-61-68,16,23E483B8A39B5342C
powerball,2026-08-08,1,55,19-37-42-59-66,11,23E483B8A39B5342C
powerball,2026-08-08,1,56,20-32-45-66-67,2,23E483B8A39B5342C
sha256,c5541c4ac475700055a4f9ca0c89d0c2fc77ee0488f2e321f3b7471dc9274d1b,,,,,
