poolId,drawId,publicationVersion,ticketIndex,numbers,special,serial
powerball,2026-08-03,1,1,1-14-27-63-64,25,274CD4C12C6766A4C
powerball,2026-08-03,1,2,1-18-37-40-48,8,274CD4C12C6766A4C
powerball,2026-08-03,1,3,1-22-47-53-66,17,274CD4C12C6766A4C
powerball,2026-08-03,1,4,2-6-17-43-60,20,274CD4C12C6766A4C
powerball,2026-08-03,1,5,2-10-55-57-58,12,274CD4C12C6766A4C
powerball,2026-08-03,1,6,2-13-24-34-39,26,274CD4C12C6766A4C
powerball,2026-08-03,1,7,2-23-25-61-66,25,274CD4C12C6766A4C
powerball,2026-08-03,1,8,3-4-38-65-68,26,274CD4C12C6766A4C
powerball,2026-08-03,1,9,3-24-29-57-66,4,274CD4C12C6766A4C
powerball,2026-08-03,1,10,4-8-48-51-55,16,274CD4C12C6766A4C
powerball,2026-08-03,1,11,4-9-11-43-56,1,274CD4C12C6766A4C
powerball,2026-08-03,1,12,4-26-47-61-62,17,274CD4C12C6766A4C
powerball,2026-08-03,1,13,5-8-12-35-45,8,274CD4C12C6766A4C
powerball,2026-08-03,1,14,5-14-30-41-46,18,274CD4C12C6766A4C
powerball,2026-08-03,1,15,6-12-41-50-69,11,274CD4C12C6766A4C
powerball,2026-08-03,1,16,6-15-26-34-37,5,274CD4C12C6766A4C
powerball,2026-08-03,1,17,6-20-35-49-58,3,274CD4C12C6766A4C
powerball,2026-08-03,1,18,7-12-22-51-52,7,274CD4C12C6766A4C
powerball,2026-08-03,1,19,7-20-30-36-39,24,274CD4C12C6766A4C
powerball,2026-08-03,1,20,7-31-42-63-68,9,274CD4C12C6766A4C
powerball,2026-08-03,1,21,8-38-47-59-69,12,2B30C09BAC09CBD11
powerball,2026-08-03,1,22,8-43-49-52-57,7,2B30C09BAC09CBD11
powerball,2026-08-03,1,23,9-13-33-36-58,13,2B30C09BAC09CBD11
powerball,2026-08-03,1,24,9-19-34-40-45,22,2B30C09BAC09CBD11
powerball,2026-08-03,1,25,10-15-30-50-59,23,2B30C09BAC09CBD11
powerball,2026-08-03,1,26,10-16-21-51-63,2,2B30C09BAC09CBD11
powerball,2026-08-03,1,27,10-33-40-42-67,2,2B30C09BAC09CBD11
powerball,2026-08-03,1,28,11-21-29-38-46,23,2B30C09BAC09CBD11
powerball,2026-08-03,1,29,14-19-51-54-57,19,2B30C09BAC09CBD11
powerball,2026-08-03,1,30,14-25-31-38-49,15,2B30C09BAC09CBD11
powerball,2026-08-03,1,31,15-28-48-62-65,11,2D8EA8E168063B40F
powerball,2026-08-03,1,32,16-25-39-55-56,6,2D8EA8E168063B40F
powerball,2026-08-03,1,33,17-20-31-44-54,3,2D8EA8E168063B40F
powerball,2026-08-03,1,34,17-29-42-50-62,21,2D8EA8E168063B40F
powerball,2026-08-03,1,35,18-22-23-60-67,13,2D8EA8E168063B40F
powerball,2026-08-03,1,36,19-35-44-46-56,10,2D8EA8E168063B40F
powerball,2026-08-03,1,37,20-27-32-59-68,14,2D8EA8E168063B40F
powerball,2026-08-03,1,38,24-28-45-53-54,5,2D8EA8E168063B40F
powerball,2026-08-03,1,39,21-28-36-61-64,14,2C98E48806903E477
powerball,2026-08-03,1,40,23-32-33-63-69,4,2C98E48806903E477
powerball,2026-08-03,1,41,3-18-52-56-59,1,2C98E48806903E477
powerball,2026-08-03,1,42,16-27-44-53-62,21,2C98E48806903E477
powerball,2026-08-03,1,43,11-23-36-54-64,9,2C98E48806903E477
powerball,2026-08-03,1,44,13-26-46-49-65,16,2C98E48806903E477
powerball,2026-08-03,1,45,32-41-47-58-67,24,2C98E48806903E477
powerball,2026-08-03,1,46,5-28-37-60-69,20,2C98E48806903E477
sha256,a38f3ed744837f2b8b3a2f9febd9444ab4a645e3c33a47f32db73bb92f638a8e,,,,,
